business_name,creative_id,name,spend,purchases,roas,fatigue_status,target_roas,marcus_label,lin_label,aria_label,ai_rubric_label,consensus_label,agreement_count,has_disagreement
TheSwaf,creative_1ff8m04,bestsellersnecklace,30.21,0,0,none,2.2,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_r14rly,modern.cave,27.32,0,0,none,3.5,test_more,test_more,cut,test_more,test_more,3,true
IwaStore,creative_bxvoy6,mum2boys_style,26.46,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_rzsa59,Gift a sanctuary,20.28,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_1bnj7cl,Timeless Crescent,20.18,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_z0iv9g,A journey toward,20.04,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_6ip33q,Loved styling,13.55,1,34.38,none,3.5,test_more,test_more,keep,test_more,test_more,3,true
IwaStore,creative_16vnta7,A soulful gift,13.25,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_1b3pukg,whispersfromthedevil,11.33,0,0,none,2.2,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_2bbb9e,alphawolfnecklace,10.07,0,0,none,2.2,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_kidoxv,It became the favorite,3.09,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_8jo0k8,Start with,2.43,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
IwaStore,creative_v5fbmo,Joyful prep,0.15,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_15jtvb3,RebeccaH,0.03,0,0,none,2.2,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_1iounru,ChristianElvenSword,0.02,0,0,none,2.2,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_2chqoy,wearthefearrevise,1950.29,9,0.95,none,2.2,cut,cut,cut,cut,cut,4,false
TheSwaf,creative_1d99qi7,aura,1531.33,16,2.07,none,2.2,keep,keep,keep,keep,keep,4,false
