business_name,creative_id,name,spend,purchases,roas,fatigue_status,target_roas,MY_label,MY_reason,v1_primary_action,v1_primary_mapped,v1_lifecycle_state,v1_lifecycle_mapped,v1_legacy_action,v1_legacy_mapped,v2_primary_decision,v2_mapped,v21_buyer_action,v21_mapped,meta_campaign_action,meta_mapped,disagreement_count
TheSwaf,creative_15qkuwr,legacyrevise,154.4,1,1.23,none,1.71,test_more,"Thin data (spend=$154, purchases=1, ROAS 1.23) — accumulate",block_deploy,diagnose,blocked,diagnose,kill,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_mvouqb,The heart finds,145.02,2,2.11,fatigued,3.5,test_more,"Thin data (spend=$145, purchases=2, ROAS 2.11) — accumulate",refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_lusk5,Cherish every,111.02,3,4.9,fatigued,3.5,test_more,"Thin data (spend=$111, purchases=3, ROAS 4.90) — accumulate",refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_oh3fxx,PrayerEssentialsCatalog,88.79,0,0,fatigued,3.5,test_more,"Thin data (spend=$89, purchases=0, ROAS 0.00) — accumulate",refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,refresh,refresh,,,5
IwaStore,creative_mkkyju,Glowing lanterns,63.99,1,7.99,fatigued,3.5,test_more,"Thin data (spend=$64, purchases=1, ROAS 7.99) — accumulate",refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_1x0u7yl,Beautiful gatherings,25.12,2,6.22,fatigued,3.5,test_more,"Thin data (spend=$25, purchases=2, ROAS 6.22) — accumulate",refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_kidoxv,It became the favorite,3.09,0,0,none,3.5,test_more,"Thin data (spend=$3, purchases=0, ROAS 0.00) — accumulate",block_deploy,diagnose,retired,cut,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_8jo0k8,Start with,2.43,0,0,none,3.5,test_more,"Thin data (spend=$2, purchases=0, ROAS 0.00) — accumulate",block_deploy,diagnose,retired,cut,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_v5fbmo,Joyful prep,0.15,0,0,none,3.5,test_more,"Thin data (spend=$0, purchases=0, ROAS 0.00) — accumulate",block_deploy,diagnose,retired,cut,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_15jtvb3,RebeccaH,0.03,0,0,none,1.71,test_more,"Thin data (spend=$0, purchases=0, ROAS 0.00) — accumulate",block_deploy,diagnose,retired,cut,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_1iounru,ChristianElvenSword,0.02,0,0,none,1.71,test_more,"Thin data (spend=$0, purchases=0, ROAS 0.00) — accumulate",block_deploy,diagnose,retired,cut,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_23qk12,Advantage+ catalog ad,1612.71,13,1.65,fatigued,1.71,refresh,Fatigued + below target (96%) — replace with fresh iteration,refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,pause,cut,4
IwaStore,creative_11qthjh,Catalog New Collection,1553.19,36,3.79,fatigued,3.5,refresh,"Fatigued winner (ROAS 3.79, 108% of target) — iterate / new variant",refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,monitor_only,keep,4
IwaStore,creative_15m2a6d,Since I hung,373.21,6,2.3,fatigued,3.5,refresh,Fatigued + below target (66%) — replace with fresh iteration,refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,diagnose_data,diagnose,monitor_only,keep,4
TheSwaf,creative_1d99qi7,aura,1531.33,16,2.07,none,1.71,keep,"ROAS 2.07 at/above target 1.71 — stable, let it ride",hold_no_touch,keep,stable_winner,keep,watch,keep,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_uf55lo,AllRings,564,4,1.19,none,1.71,test_more,"Thin data (spend=$564, purchases=4, ROAS 1.19) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_zri7ic,Every beautiful,478.65,8,2.31,none,3.5,test_more,"Thin data (spend=$479, purchases=8, ROAS 2.31) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_zgt8em,restraintrevise,467.34,6,4.14,watch,1.71,keep,"ROAS 4.14 at/above target 1.71 — stable, let it ride",hold_no_touch,keep,stable_winner,keep,watch,keep,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1ckebyd,EMB - AllRings,459.83,3,1.12,watch,1.71,test_more,"Thin data (spend=$460, purchases=3, ROAS 1.12) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_tah2d0,New 2026 Collection,433.73,13,3.27,watch,3.5,test_more,"Thin data (spend=$434, purchases=13, ROAS 3.27) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_8a8qqj,ancientegypt,377.85,2,0.64,none,1.71,test_more,"Thin data (spend=$378, purchases=2, ROAS 0.64) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1w229oq,begintodeath,347.9,2,2.26,none,1.71,test_more,"Thin data (spend=$348, purchases=2, ROAS 2.26) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_5r9ggv,angelNdevill,341.02,2,1.1,none,1.71,test_more,"Thin data (spend=$341, purchases=2, ROAS 1.10) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1lk4izw,death,328.7,3,1.58,watch,1.71,test_more,"Thin data (spend=$329, purchases=3, ROAS 1.58) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1c77me5,risklooksbetter,186.57,0,0,none,1.71,test_more,"Thin data (spend=$187, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_j0f9os,ReligiousNecklaceFlex,181.54,0,0,none,1.71,test_more,"Thin data (spend=$182, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_1jkih46,nina_deko_germany,129.43,3,3,watch,3.5,test_more,"Thin data (spend=$129, purchases=3, ROAS 3.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1cr1zc9,EMB - TargeryenFlex,119.1,0,0,none,1.71,test_more,"Thin data (spend=$119, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_v6rxpx,bestseller,116.72,2,2.71,none,1.71,test_more,"Thin data (spend=$117, purchases=2, ROAS 2.71) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1qql2ue,TargeryenFlex,105.97,1,1.95,none,1.71,test_more,"Thin data (spend=$106, purchases=1, ROAS 1.95) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_14mo3mu,ring,100.84,1,2.61,watch,1.71,test_more,"Thin data (spend=$101, purchases=1, ROAS 2.61) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_tzeupz,A stunning Islamic,100.83,1,0.72,none,3.5,test_more,"Thin data (spend=$101, purchases=1, ROAS 0.72) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_6yakbd,Set up my,97.6,0,0,none,3.5,test_more,"Thin data (spend=$98, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1uqd6gf,evolution,93.66,0,0,none,1.71,test_more,"Thin data (spend=$94, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_yqjwhk,MedusaFlex,70.89,0,0,none,1.71,test_more,"Thin data (spend=$71, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1vyej00,EMB - ReligiousNecklace,61.21,1,3.28,none,1.71,test_more,"Thin data (spend=$61, purchases=1, ROAS 3.28) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_164v2ds,More than,58.32,0,0,none,3.5,test_more,"Thin data (spend=$58, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_426qx5,EMB - Mix,57.46,0,0,none,1.71,test_more,"Thin data (spend=$57, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1drk18s,bestsellerringsgothic,56.7,1,2.7,none,1.71,test_more,"Thin data (spend=$57, purchases=1, ROAS 2.70) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_jc56ov,Tastemythrevise,47.95,0,0,none,1.71,test_more,"Thin data (spend=$48, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_1uqggii,It added meaning,46.82,0,0,none,3.5,test_more,"Thin data (spend=$47, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_1gkgji3,Iconic beauty,39.07,0,0,none,3.5,test_more,"Thin data (spend=$39, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_nheqjy,Mix,38.68,1,4,none,1.71,test_more,"Thin data (spend=$39, purchases=1, ROAS 4.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_1m3nv5p,A solid foundation,33.8,1,3.06,none,3.5,test_more,"Thin data (spend=$34, purchases=1, ROAS 3.06) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_ruy649,Decorating the,30.45,0,0,none,3.5,test_more,"Thin data (spend=$30, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1ykaj7n,softness,30.25,0,0,none,1.71,test_more,"Thin data (spend=$30, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1ff8m04,bestsellersnecklace,30.21,0,0,none,1.71,test_more,"Thin data (spend=$30, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_rzsa59,Gift a sanctuary,20.28,0,0,none,3.5,test_more,"Thin data (spend=$20, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_1bnj7cl,Timeless Crescent,20.18,0,0,none,3.5,test_more,"Thin data (spend=$20, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_z0iv9g,A journey toward,20.04,0,0,none,3.5,test_more,"Thin data (spend=$20, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_6ip33q,Loved styling,13.55,1,34.38,none,3.5,test_more,"Thin data (spend=$14, purchases=1, ROAS 34.38) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_16vnta7,A soulful gift,13.25,0,0,none,3.5,test_more,"Thin data (spend=$13, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_1b3pukg,whispersfromthedevil,11.33,0,0,none,1.71,test_more,"Thin data (spend=$11, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
TheSwaf,creative_2bbb9e,alphawolfnecklace,10.07,0,0,none,1.71,test_more,"Thin data (spend=$10, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,2
IwaStore,creative_nizzxl,لا للمحراب في البيوت!!,168.35,0,0,none,3.5,test_more,"Thin data (spend=$168, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,test_more,test_more,,,1
IwaStore,creative_1nu7pbr,Our hearts are,140.03,0,0,none,3.5,test_more,"Thin data (spend=$140, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,test_more,test_more,,,1
IwaStore,creative_r14rly,modern.cave,27.32,0,0,none,3.5,test_more,"Thin data (spend=$27, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,test_more,test_more,,,1
IwaStore,creative_bxvoy6,mum2boys_style,26.46,0,0,none,3.5,test_more,"Thin data (spend=$26, purchases=0, ROAS 0.00) — accumulate",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,test_more,test_more,,,1
