creative_id,business_name,name,spend,purchases,roas,fatigue_status,age_days,target_roas,my_label,my_reason
creative_2dptrn,TheSwaf,Advantage+ catalog,2122.32,21,2.44,none,30,2.2,keep,"ROAS 2.44 at/above target 2.2 — stable, let it ride"
creative_2chqoy,TheSwaf,wearthefearrevise,1950.29,9,0.95,none,30,2.2,cut,"ROAS 0.95 = 43% of target after $1950 — clear loser at scale, cut"
creative_23qk12,TheSwaf,Advantage+ catalog ad,1612.71,13,1.65,fatigued,30,2.2,refresh,Fatigued + below target (75%) — replace with fresh iteration
creative_1d99qi7,TheSwaf,aura,1531.33,16,2.07,none,30,2.2,keep,"ROAS 2.07 below target (94%) but in working zone — monitor, no aggressive move"
creative_1ikfu77,TheSwaf,protection,1361.73,9,1.68,none,30,2.2,keep,"ROAS 1.68 below target (76%) but in working zone — monitor, no aggressive move"
creative_ylpchy,TheSwaf,aphrodite,1193.43,10,1.63,watch,30,2.2,keep,"ROAS 1.63 below target (74%) but in working zone — monitor, no aggressive move"
creative_14uk7cw,TheSwaf,fatal,944.37,7,1.67,none,30,2.2,keep,"ROAS 1.67 below target (76%) but in working zone — monitor, no aggressive move"
creative_hltcj,TheSwaf,depth,587.18,2,0.63,none,30,2.2,cut,ROAS 0.63 = 29% of target — sustained loser
creative_uf55lo,TheSwaf,AllRings,564,4,1.19,none,30,2.2,test_more,"Thin data (spend=$564, purchases=4, ROAS 1.19) — accumulate"
creative_7det4q,TheSwaf,biterevise,525.23,8,4.01,watch,30,2.2,scale,ROAS 4.01 = 182% of target with 8 buys despite $525 — early scale candidate
creative_zgt8em,TheSwaf,restraintrevise,467.34,6,4.14,watch,30,2.2,keep,"ROAS 4.14 at/above target 2.2 — stable, let it ride"
creative_1ckebyd,TheSwaf,EMB - AllRings,459.83,3,1.12,watch,30,2.2,test_more,"Thin data (spend=$460, purchases=3, ROAS 1.12) — accumulate"
creative_8a8qqj,TheSwaf,ancientegypt,377.85,2,0.64,none,30,2.2,test_more,"Thin data (spend=$378, purchases=2, ROAS 0.64) — accumulate"
creative_1w229oq,TheSwaf,begintodeath,347.9,2,2.26,none,30,2.2,test_more,"Thin data (spend=$348, purchases=2, ROAS 2.26) — accumulate"
creative_5r9ggv,TheSwaf,angelNdevill,341.02,2,1.1,none,30,2.2,test_more,"Thin data (spend=$341, purchases=2, ROAS 1.10) — accumulate"
creative_1lk4izw,TheSwaf,death,328.7,3,1.58,watch,30,2.2,test_more,"Thin data (spend=$329, purchases=3, ROAS 1.58) — accumulate"
creative_2jh4dm,TheSwaf,faith,324.83,1,0.38,none,30,2.2,test_more,"Thin data (spend=$325, purchases=1, ROAS 0.38) — accumulate"
creative_ytzmrs,TheSwaf,watchthat,226.26,0,0,none,30,2.2,cut,"0 purchases on $226 — sustained zero-conv burn, kill"
creative_1c77me5,TheSwaf,risklooksbetter,186.57,0,0,none,30,2.2,test_more,"Thin data (spend=$187, purchases=0, ROAS 0.00) — accumulate"
creative_j0f9os,TheSwaf,ReligiousNecklaceFlex,181.54,0,0,none,30,2.2,test_more,"Thin data (spend=$182, purchases=0, ROAS 0.00) — accumulate"
creative_15qkuwr,TheSwaf,legacyrevise,154.4,1,1.23,none,30,2.2,test_more,"Thin data (spend=$154, purchases=1, ROAS 1.23) — accumulate"
creative_1cr1zc9,TheSwaf,EMB - TargeryenFlex,119.1,0,0,none,30,2.2,test_more,"Thin data (spend=$119, purchases=0, ROAS 0.00) — accumulate"
creative_v6rxpx,TheSwaf,bestseller,116.72,2,2.71,none,30,2.2,test_more,"Thin data (spend=$117, purchases=2, ROAS 2.71) — accumulate"
creative_1qql2ue,TheSwaf,TargeryenFlex,105.97,1,1.95,none,30,2.2,test_more,"Thin data (spend=$106, purchases=1, ROAS 1.95) — accumulate"
creative_14mo3mu,TheSwaf,ring,100.84,1,2.61,watch,30,2.2,test_more,"Thin data (spend=$101, purchases=1, ROAS 2.61) — accumulate"
creative_1uqd6gf,TheSwaf,evolution,93.66,0,0,none,30,2.2,test_more,"Thin data (spend=$94, purchases=0, ROAS 0.00) — accumulate"
creative_yqjwhk,TheSwaf,MedusaFlex,70.89,0,0,none,30,2.2,test_more,"Thin data (spend=$71, purchases=0, ROAS 0.00) — accumulate"
creative_1vyej00,TheSwaf,EMB - ReligiousNecklace,61.21,1,3.28,none,30,2.2,test_more,"Thin data (spend=$61, purchases=1, ROAS 3.28) — accumulate"
creative_426qx5,TheSwaf,EMB - Mix,57.46,0,0,none,30,2.2,test_more,"Thin data (spend=$57, purchases=0, ROAS 0.00) — accumulate"
creative_1drk18s,TheSwaf,bestsellerringsgothic,56.7,1,2.7,none,30,2.2,test_more,"Thin data (spend=$57, purchases=1, ROAS 2.70) — accumulate"
creative_jc56ov,TheSwaf,Tastemythrevise,47.95,0,0,none,30,2.2,test_more,"Thin data (spend=$48, purchases=0, ROAS 0.00) — accumulate"
creative_nheqjy,TheSwaf,Mix,38.68,1,4,none,30,2.2,test_more,"Thin data (spend=$39, purchases=1, ROAS 4.00) — accumulate"
creative_1ykaj7n,TheSwaf,softness,30.25,0,0,none,30,2.2,test_more,"Thin data (spend=$30, purchases=0, ROAS 0.00) — accumulate"
creative_1ff8m04,TheSwaf,bestsellersnecklace,30.21,0,0,none,30,2.2,test_more,"Thin data (spend=$30, purchases=0, ROAS 0.00) — accumulate"
creative_1b3pukg,TheSwaf,whispersfromthedevil,11.33,0,0,none,30,2.2,test_more,"Thin data (spend=$11, purchases=0, ROAS 0.00) — accumulate"
creative_2bbb9e,TheSwaf,alphawolfnecklace,10.07,0,0,none,30,2.2,test_more,"Thin data (spend=$10, purchases=0, ROAS 0.00) — accumulate"
creative_15jtvb3,TheSwaf,RebeccaH,0.03,0,0,none,30,2.2,test_more,"Thin data (spend=$0, purchases=0, ROAS 0.00) — accumulate"
creative_1iounru,TheSwaf,ChristianElvenSword,0.02,0,0,none,30,2.2,test_more,"Thin data (spend=$0, purchases=0, ROAS 0.00) — accumulate"
