business_name,creative_id,creative_name,spend,purchases,roas,v1_primary_action,v1_lifecycle_state,v1_legacy_action,v2_primary_decision,v2_actionability,v2_confidence,v2_problem_class,v2_risk_level,v21_buyer_action,v21_priority,v21_confidence_band,v21_problem_class,campaign_id,meta_campaign_action,meta_campaign_role,meta_campaign_confidence
TheSwaf,creative_zgt8em,restraintrevise,467.34,6,4.14,hold_no_touch,stable_winner,watch,Diagnose,diagnose,67,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1ckebyd,EMB - AllRings,459.83,3,1.12,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_8a8qqj,ancientegypt,377.85,2,0.64,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1w229oq,begintodeath,347.9,2,2.26,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_5r9ggv,angelNdevill,341.02,2,1.1,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1lk4izw,death,328.7,3,1.58,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_2jh4dm,faith,324.83,1,0.38,block_deploy,blocked,kill,Diagnose,diagnose,67,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_ytzmrs,watchthat,226.26,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1c77me5,risklooksbetter,186.57,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_j0f9os,ReligiousNecklaceFlex,181.54,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_15qkuwr,legacyrevise,154.4,1,1.23,block_deploy,blocked,kill,Diagnose,diagnose,67,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1cr1zc9,EMB - TargeryenFlex,119.1,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_v6rxpx,bestseller,116.72,2,2.71,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1qql2ue,TargeryenFlex,105.97,1,1.95,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_14mo3mu,ring,100.84,1,2.61,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1uqd6gf,evolution,93.66,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_yqjwhk,MedusaFlex,70.89,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_1vyej00,EMB - ReligiousNecklace,61.21,1,3.28,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_426qx5,EMB - Mix,57.46,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1drk18s,bestsellerringsgothic,56.7,1,2.7,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_jc56ov,Tastemythrevise,47.95,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_nheqjy,Mix,38.68,1,4,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_1ykaj7n,softness,30.25,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1ff8m04,bestsellersnecklace,30.21,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1b3pukg,whispersfromthedevil,11.33,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_2bbb9e,alphawolfnecklace,10.07,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_15jtvb3,RebeccaH,0.03,0,0,block_deploy,retired,pause,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_1iounru,ChristianElvenSword,0.02,0,0,block_deploy,retired,pause,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_bzfqye,WallArtCatalog,2310.73,46,3.19,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_gav4ek,WoodenWallArtCatalog,1651.36,57,5.3,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,refresh,medium,medium,fatigue,120209671132750077,monitor_only,Prospecting Test,0.65
IwaStore,creative_11qthjh,Catalog New Collection,1553.19,36,3.79,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,120209671132750077,monitor_only,Prospecting Test,0.65
IwaStore,creative_kgfoui,A misbaha,838.24,19,3.51,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_7o6ry1,Transforming a house,830.76,25,9.52,hold_no_touch,stable_winner,watch,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_zri7ic,Every beautiful,478.65,8,2.31,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_1qxpvdx,decorista_93,434.36,19,7.85,hold_no_touch,stable_winner,watch,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_tah2d0,New 2026 Collection,433.73,13,3.27,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_15m2a6d,Since I hung,373.21,6,2.3,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,120209671132750077,monitor_only,Prospecting Test,0.65
IwaStore,creative_1cm23eg,julia_julia386,279.67,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,test_more,medium,low,insufficient_signal,,,,
IwaStore,creative_1fn7p9h,A prayer niche,274.95,7,3.93,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_nizzxl,لا للمحراب في البيوت!!,168.35,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,test_more,medium,low,insufficient_signal,,,,
IwaStore,creative_mvouqb,The heart finds,145.02,2,2.11,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_1nu7pbr,Our hearts are,140.03,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,test_more,medium,low,insufficient_signal,,,,
IwaStore,creative_1jkih46,nina_deko_germany,129.43,3,3,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_lusk5,Cherish every,111.02,3,4.9,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_tzeupz,A stunning Islamic,100.83,1,0.72,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_6yakbd,Set up my,97.6,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_oh3fxx,PrayerEssentialsCatalog,88.79,0,0,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,refresh,medium,medium,fatigue,,,,
IwaStore,creative_mkkyju,Glowing lanterns,63.99,1,7.99,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_164v2ds,More than,58.32,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_1uqggii,It added meaning,46.82,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_1gkgji3,Iconic beauty,39.07,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_1m3nv5p,A solid foundation,33.8,1,3.06,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_ruy649,Decorating the,30.45,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_r14rly,modern.cave,27.32,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,test_more,medium,low,insufficient_signal,,,,
IwaStore,creative_bxvoy6,mum2boys_style,26.46,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,test_more,medium,low,insufficient_signal,,,,
IwaStore,creative_1x0u7yl,Beautiful gatherings,25.12,2,6.22,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_rzsa59,Gift a sanctuary,20.28,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_1bnj7cl,Timeless Crescent,20.18,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_z0iv9g,A journey toward,20.04,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_6ip33q,Loved styling,13.55,1,34.38,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_16vnta7,A soulful gift,13.25,0,0,keep_in_test,validating,test_more,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_kidoxv,It became the favorite,3.09,0,0,block_deploy,retired,pause,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_8jo0k8,Start with,2.43,0,0,block_deploy,retired,pause,Diagnose,diagnose,68,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
IwaStore,creative_v5fbmo,Joyful prep,0.15,0,0,block_deploy,retired,pause,Diagnose,diagnose,68,data-quality,medium,diagnose_data,low,low,data_quality,,,,
