business,creative_id,creative_name,bucket,spend_lifetime,spend_28d,purchases_28d,roas_28d,target_roas,v3,me,marcus,lin,aria,agreement_count,unique_labels,consensus_label,v3_reason,me_reason
TheSwaf,3357963294352238,ReligiousNecklaceFlex,closed_30d,767.48,6.28,0.00,0.0000,2.20,test_more,cut,cut,test_more,cut,3.00,2.00,cut,"Thin data (28d spend $6, 0 purchases, age 216d) — let the creative accumulate signal.","Closed: $767 lifetime + ROAS 0.48 (0.22× target) — olgun kayıp, doğru kapatma."
TheSwaf,841424642307232,EMB - CatalogAd,active,737.11,620.22,2.00,0.5821,2.20,cut,test_more,cut,test_more,cut,3.00,2.00,cut,ROAS 0.58 (28d) = 26% of target after $620 spend (28d) — clear loser at scale.,"$620 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
IwaStore,1588942188879607,WoodenWallArtCatalog,active,670.85,5.11,1.00,31.2818,3.50,test_more,test_more,keep,test_more,scale,3.00,3.00,test_more,"Thin data (28d spend $5, 1 purchases, age 457d) — let the creative accumulate signal.","$5 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1597946391493220,WoodenWallArtCatalog,active,658.16,650.60,20.00,4.4699,3.50,keep,keep,scale,keep,scale,3.00,2.00,keep,[near scale] ROAS 4.47 (28d) approaching scale threshold (128%) — needs $173+ spend or 8+ purchases for full scale.,"$651 olgun + ROAS 4.47 (1.28× target) — hedef civarı stabil, dramatik tetik yok."
TheSwaf,941030035300398,biterevise,active,607.63,593.05,8.00,3.5548,2.20,keep,keep,scale,keep,scale,3.00,2.00,keep,[near scale] ROAS 3.55 (28d) above target (162%) — recent 7d ROAS 0.00 below target 2.20; observe.,"28g winner: $593 + 8 sipariş + ROAS 3.55 (1.62× target), ama 7g zayıflık (spend $71 ROAS 0.00) — scale öncesi bir hafta daha izle."
TheSwaf,2731945777166108,depth,closed_30d,587.18,587.18,2.00,0.6284,2.20,cut,cut,cut,test_more,cut,4.00,2.00,cut,ROAS 0.63 (28d) = 29% of target after $587 spend (28d) — clear loser at scale.,"Closed: $587 lifetime + ROAS 0.63 (0.29× target) — olgun kayıp, doğru kapatma."
IwaStore,1420674099804622,Every beautiful,closed_30d,553.75,372.31,5.00,1.4936,3.50,cut,cut,keep,test_more,cut,3.00,3.00,cut,ROAS 1.49 (28d) = 43% of target after $372 spend (28d) — clear loser at scale.,"Closed: $554 + ROAS 2.19 (0.63× target) — olgun ve hedef altı, retro-cut onaylı."
TheSwaf,1250889117025589,restraintrevise,active,519.55,504.32,7.00,4.1756,2.20,scale,scale,scale,keep,scale,4.00,2.00,scale,ROAS 4.18 (28d) = 190% of target 2.20 with 7 purchases (28d) and recent 7d holding at 3.90 — scale the ad set budget.,"$504 olgun + 7 sipariş + 28g ROAS 4.18 (1.90× target) + 7g 3.90 (1.77×), fatigue=watch — winner, scale."
TheSwaf,1344068397554957,EMB - AllRings,active,517.38,498.16,4.00,1.4537,2.20,keep,cut,refresh,test_more,refresh,2.00,4.00,no_consensus,[demote candidate] ROAS 1.45 (28d) = 66% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $498 mature spend — consider demote to test placement or refresh creative concept.,"$498 olgun + ROAS 1.45 (0.66× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
IwaStore,811959778633363,New 2026 Collection,closed_30d,497.72,369.23,11.00,3.3825,3.50,keep,refresh,refresh,keep,refresh,3.00,2.00,refresh,"[at target] ROAS 3.38 (28d) at/around target 3.50 (97%) — stable, let it run; fatigue watch — monitor for refresh signal; lifecycle: past_peak_unclear — operator review recommended","Closed past peak (past_peak_unclear, fatigue=watch), $498 lifetime ROAS 2.96 (0.85× target) — concept iyiydi, fresh angle ile yeniden test."
IwaStore,966762982363817,decorista_93,closed_30d,465.22,377.21,14.00,6.3443,3.50,keep,diagnose,scale,keep,diagnose,2.00,3.00,no_consensus,[near scale] ROAS 6.34 (28d) above target (181%) — recent 7d ROAS 3.16 below target 3.50; observe.,"Closed: ROAS 7.92 (2.26× target) + 21 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
IwaStore,744459891804259,mum2boys_style,closed_30d,440.86,0.23,0.00,0.0000,3.50,out_of_scope,cut,cut,test_more,cut,3.00,2.00,cut,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,"Closed: $441 lifetime + ROAS 0.24 (0.07× target) — olgun kayıp, doğru kapatma."
TheSwaf,930269923096296,begintodeath,active,398.07,389.62,2.00,2.0148,2.20,test_more,test_more,refresh,test_more,refresh,3.00,2.00,test_more,"Thin data (28d spend $390, 2 purchases, age 26d) — let the creative accumulate signal.","$390 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,1383902269751310,TargeryenFlex,closed_30d,397.03,5.97,0.00,0.0000,2.20,test_more,cut,cut,test_more,cut,3.00,2.00,cut,"Thin data (28d spend $6, 0 purchases, age 211d) — let the creative accumulate signal.","Closed: $397 lifetime + ROAS 0.46 (0.21× target) — olgun kayıp, doğru kapatma."
TheSwaf,1425547512680542,ancientegypt,closed_30d,377.85,377.85,2.00,0.6352,2.20,test_more,cut,cut,test_more,cut,3.00,2.00,cut,"Thin data (28d spend $378, 2 purchases, age 26d) — let the creative accumulate signal.","Closed: $378 lifetime + ROAS 0.64 (0.29× target) — olgun kayıp, doğru kapatma."
TheSwaf,974060018521285,death,active,373.83,371.18,3.00,1.4009,2.20,test_more,cut,keep,test_more,cut,2.00,3.00,no_consensus,"Thin data (28d spend $371, 3 purchases, age 26d) — let the creative accumulate signal.","$371 olgun + ROAS 1.40 (0.64× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
IwaStore,970526038984760,Our hearts are,closed_30d,363.52,0.95,0.00,0.0000,3.50,out_of_scope,cut,cut,test_more,cut,3.00,2.00,cut,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,"Closed: $364 lifetime + ROAS 0.00 (0.00× target) — olgun kayıp, doğru kapatma."
TheSwaf,1142325247324026,TargeryenFlex,closed_30d,349.89,0.19,1.00,1085.5263,2.20,test_more,cut,scale,keep,diagnose,1.00,5.00,no_consensus,"Thin data (28d spend $0, 1 purchases, age 215d) — let the creative accumulate signal.","Closed: $350 + ROAS 2.22 (1.01× target) — olgun ve hedef altı, retro-cut onaylı."
IwaStore,930886633134159,A prayer niche,closed_30d,341.72,116.35,2.00,3.2574,3.50,test_more,diagnose,refresh,keep,diagnose,2.00,4.00,no_consensus,"Thin data (28d spend $116, 2 purchases, age 42d) — let the creative accumulate signal.","Closed: ROAS 3.67 (1.05× target) + 9 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
IwaStore,1655577498670460,Since I hung,active,341.53,323.07,3.00,0.8743,3.50,cut,cut,cut,test_more,cut,4.00,2.00,cut,Severe loser at scale: ROAS 0.87 = 25% of target on $323 (28d) — spend exceeded hard-cut threshold $289 and ratio is below severe-loser zone (39%); decisive cut despite young age / thin sample.,"$323 28g (≥1.5× mature) + ROAS 0.87 (0.25× target) + 7g toparlanma yok — olgun kayıp, kes."
TheSwaf,2195229177681668,angelNdevill,active,341.08,341.08,2.00,1.0965,2.20,test_more,test_more,cut,test_more,cut,3.00,2.00,test_more,"Thin data (28d spend $341, 2 purchases, age 26d) — let the creative accumulate signal.","$341 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
IwaStore,768721082956229,Joyful prep,closed_30d,341.01,0.01,0.00,0.0000,3.50,out_of_scope,cut,cut,test_more,cut,3.00,2.00,cut,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,"Closed: $341 lifetime + ROAS 0.47 (0.13× target) — olgun kayıp, doğru kapatma."
IwaStore,2195290934643087,Transforming a house,active,340.52,333.26,11.00,5.4091,3.50,keep,keep,scale,keep,scale,3.00,2.00,keep,[near scale] ROAS 5.41 (28d) above target (155%) — recent 7d ROAS 1.77 below target 3.50; observe.,"28g winner: $333 + 11 sipariş + ROAS 5.41 (1.55× target), ama 7g zayıflık (spend $92 ROAS 1.77) — scale öncesi bir hafta daha izle."
IwaStore,1585735605840392,Since I hung,closed_30d,329.85,127.82,2.00,2.2998,3.50,test_more,diagnose,refresh,keep,refresh,2.00,4.00,no_consensus,"Thin data (28d spend $128, 2 purchases, age 42d) — let the creative accumulate signal.","Funnel weak stage = checkout, creative_responsibility 0.00 (düşük) — kreatif değil site/checkout sorunu, $128'da kapatma kararı kreatif düzeltmez."
TheSwaf,935580372698767,faith,closed_30d,324.83,324.83,1.00,0.3848,2.20,cut,cut,cut,test_more,cut,4.00,2.00,cut,Severe loser at scale: ROAS 0.38 = 17% of target on $325 (28d) — spend exceeded hard-cut threshold $281 and ratio is below severe-loser zone (28%); decisive cut despite young age / thin sample.,"Closed: $325 lifetime + ROAS 0.38 (0.17× target) — olgun kayıp, doğru kapatma."
TheSwaf,1133995451493304,MedusaFlex,closed_30d,305.00,2.65,0.00,0.0000,2.20,test_more,cut,keep,keep,keep,3.00,3.00,keep,"Thin data (28d spend $3, 0 purchases, age 216d) — let the creative accumulate signal.","Closed: $305 + ROAS 1.69 (0.77× target) — olgun ve hedef altı, retro-cut onaylı."
IwaStore,1284552599771657,WoodenWallArtCatalog,closed_30d,251.10,251.10,9.00,6.3149,3.50,diagnose,diagnose,scale,keep,diagnose,3.00,3.00,diagnose,"Active creative — 0 spend in last 7d, 28d total $251 — check delivery (ad set status, budget, audience size, frequency caps).","Closed: ROAS 6.31 (1.80× target) + 9 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
TheSwaf,1474105167195606,Mix,closed_30d,237.43,2.50,0.00,0.0000,2.20,test_more,diagnose,scale,keep,diagnose,2.00,4.00,no_consensus,"Thin data (28d spend $3, 0 purchases, age 212d) — let the creative accumulate signal.","Closed: ROAS 2.49 (1.13× target) + 5 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
IwaStore,3953033168334495,لا للمحراب في البيوت!!,active,236.03,223.18,0.00,0.0000,3.50,out_of_scope,diagnose,cut,test_more,cut,2.00,3.00,cut,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,"$223 28g harcama + 239.21% CTR ama 0 sipariş — clicks geliyor ama dönüş yok. Tracking veya site/checkout sorunu, kreatifi tek başına suçlama."
TheSwaf,2413832812481192,watchthat,closed_30d,226.26,226.26,0.00,0.0000,2.20,cut,cut,cut,test_more,cut,4.00,2.00,cut,"0 purchases on $226 spend (28d cumulative, age 26d) — sustained zero-conversion burn.","Closed: $226 + ROAS 0.00 (0.00× target) — olgun ve hedef altı, retro-cut onaylı."
IwaStore,968020058968795,mum2boys_style,active,215.99,214.67,2.00,2.2204,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $215, 2 purchases, age 5d) — let the creative accumulate signal.","$215 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,2908323869499405,risklooksbetter,closed_30d,186.57,186.57,0.00,0.0000,2.20,diagnose,diagnose,test_more,test_more,diagnose,3.00,2.00,diagnose,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,1493794995651100,The heart finds,closed_30d,180.17,104.06,2.00,2.9409,3.50,test_more,cut,cut,test_more,cut,3.00,2.00,cut,"Thin data (28d spend $104, 2 purchases, age 39d) — let the creative accumulate signal.","Closed: $180 lifetime + ROAS 1.70 (0.49× target) — olgun kayıp, doğru kapatma."
TheSwaf,1484306833294778,EMB - TargeryenFlex,active,155.52,148.26,1.00,1.5121,2.20,test_more,test_more,keep,test_more,scale,3.00,3.00,test_more,"Thin data (28d spend $148, 1 purchases, age 25d) — let the creative accumulate signal.","$148 28g + 1 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,1476506453853715,legacyrevise,closed_30d,154.40,154.40,1.00,1.2273,2.20,test_more,cut,keep,test_more,cut,2.00,3.00,no_consensus,"Thin data (28d spend $154, 1 purchases, age 26d) — let the creative accumulate signal.","Closed: $154 + ROAS 1.23 (0.56× target) — olgun ve hedef altı, retro-cut onaylı."
IwaStore,2155452695257229,Cherish every,closed_30d,152.04,76.05,1.00,3.1341,3.50,test_more,refresh,refresh,test_more,diagnose,2.00,3.00,no_consensus,"Thin data (28d spend $76, 1 purchases, age 39d) — let the creative accumulate signal.","Closed past peak (past_peak_unclear, fatigue=watch), $152 lifetime ROAS 3.58 (1.02× target) — concept iyiydi, fresh angle ile yeniden test."
IwaStore,1677986356526477,nina_deko_germany,closed_30d,138.97,68.56,2.00,3.8156,3.50,test_more,refresh,refresh,test_more,refresh,3.00,2.00,refresh,"Thin data (28d spend $69, 2 purchases, age 36d) — let the creative accumulate signal.","Closed past peak (past_peak_unclear), $139 lifetime ROAS 2.79 (0.80× target) — concept iyiydi, fresh angle ile yeniden test."
IwaStore,1298590478858258,A stunning Islamic,closed_30d,138.23,55.71,0.00,0.0000,3.50,diagnose,diagnose,cut,test_more,diagnose,3.00,3.00,diagnose,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,1491430605985827,PrayerEssentialsCatalog,active,136.79,72.26,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $72, 0 purchases, age 41d) — let the creative accumulate signal.","$72 28g + 0 sipariş — purchase sample çok küçük, sinyal güvenilmez."
IwaStore,1696539768203616,modern.cave,active,125.87,122.90,1.00,1.8026,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $123, 1 purchases, age 5d) — let the creative accumulate signal.","$123 28g + 1 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,1879695362688413,bestseller,active,122.48,121.69,2.00,2.5968,2.20,test_more,test_more,scale,test_more,refresh,3.00,3.00,test_more,"Thin data (28d spend $122, 2 purchases, age 26d) — let the creative accumulate signal.","$122 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,1761002005018656,ring,active,114.59,112.74,1.00,2.3320,2.20,test_more,test_more,refresh,test_more,refresh,3.00,2.00,test_more,"Thin data (28d spend $113, 1 purchases, age 26d) — let the creative accumulate signal.","$113 28g + 1 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,1283690053078235,Mix,closed_30d,114.41,0.00,0.00,,2.20,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $0, 0 purchases, age 216d) — let the creative accumulate signal.","Closed: sadece $114 test edildi (3×CPA eşiği $281) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1604466493963499,Set up my,closed_30d,110.99,81.04,0.00,0.0000,3.50,test_more,cut,test_more,test_more,cut,3.00,2.00,test_more,"Thin data (28d spend $81, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: $111 + ROAS 0.00 (0.00× target) — olgun ve hedef altı, retro-cut onaylı."
TheSwaf,1655126075507081,evolution,active,106.57,104.41,0.00,0.0000,2.20,diagnose,diagnose,test_more,test_more,diagnose,3.00,2.00,diagnose,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,2793542300980492,A journey toward,active,103.06,100.62,2.00,2.9575,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $101, 2 purchases, age 5d) — let the creative accumulate signal.","$101 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
TheSwaf,967102445774372,EMB - Mix,active,102.32,66.89,1.00,2.2692,2.20,test_more,test_more,refresh,test_more,scale,3.00,3.00,test_more,"Thin data (28d spend $67, 1 purchases, age 26d) — let the creative accumulate signal.","$67 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,975269794952302,A soulful gift,active,97.33,91.31,2.00,2.0757,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $91, 2 purchases, age 5d) — let the creative accumulate signal.","$91 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
IwaStore,990746656943922,Since I hung,active,85.68,85.68,2.00,1.6018,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $86, 2 purchases, age 18d) — let the creative accumulate signal.","$86 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
IwaStore,1459053848960720,It added meaning,closed_30d,78.33,21.91,0.00,0.0000,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $22, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $78 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1662781231395655,WoodenWallArtCatalog,closed_30d,76.30,76.30,0.00,0.0000,3.50,diagnose,diagnose,test_more,test_more,diagnose,3.00,2.00,diagnose,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,1244730050650427,More than,closed_30d,75.33,31.59,0.00,0.0000,3.50,test_more,test_more,refresh,test_more,refresh,3.00,2.00,test_more,"Thin data (28d spend $32, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $75 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,882122398191881,Catalog New Collection,closed_30d,68.74,68.74,2.00,22.3746,3.50,test_more,test_more,scale,test_more,diagnose,3.00,3.00,test_more,"Thin data (28d spend $69, 2 purchases, age 27d) — let the creative accumulate signal.","Closed: sadece $69 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1510126544090812,Decorating the,active,68.55,67.20,2.00,5.9254,3.50,test_more,test_more,scale,test_more,scale,3.00,2.00,test_more,"Thin data (28d spend $67, 2 purchases, age 5d) — let the creative accumulate signal.","$67 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1732872731454703,Glowing lanterns,closed_30d,66.34,0.00,0.00,,3.50,test_more,test_more,keep,test_more,diagnose,3.00,3.00,test_more,"Thin data (28d spend $0, 0 purchases, age 42d) — let the creative accumulate signal.","Closed: sadece $66 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,882777081456596,bestsellerringsgothic,active,57.71,57.44,1.00,2.6636,2.20,test_more,test_more,refresh,test_more,scale,3.00,3.00,test_more,"Thin data (28d spend $57, 1 purchases, age 26d) — let the creative accumulate signal.","$57 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1127695869538738,The heart finds,active,51.66,49.32,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $49, 0 purchases, age 5d) — let the creative accumulate signal.","$49 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
TheSwaf,1417424656739964,Tastemythrevise,active,47.96,47.96,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $48, 0 purchases, age 26d) — let the creative accumulate signal.","$48 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,4344364212475167,Glowing lanterns,active,47.23,47.02,1.00,10.8803,3.50,test_more,test_more,keep,test_more,scale,3.00,3.00,test_more,"Thin data (28d spend $47, 1 purchases, age 18d) — let the creative accumulate signal.","$47 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,800452073102997,Catalog New Collection,closed_30d,44.99,0.00,0.00,,3.50,test_more,test_more,keep,test_more,keep,3.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 41d) — let the creative accumulate signal.","Closed: sadece $45 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2260100064398971,A prayer niche,closed_30d,42.05,42.05,1.00,2.2354,3.50,test_more,test_more,keep,test_more,cut,3.00,3.00,test_more,"Thin data (28d spend $42, 1 purchases, age 21d) — let the creative accumulate signal.","Closed: sadece $42 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
